age,workclass,fnlwgt,education,edu_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0.287671233,Private,0.348377934,HS-grad,0.533333333,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,0.428571429,United-States,<=50K
0.493150685,Private,0.381295548,11th,0.4,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,0.428571429,United-States,<=50K
0.150684932,Private,0.56022931,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,0.428571429,Cuba,<=50K
0.273972603,Private,0.467340378,Masters,0.866666667,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0.428571429,United-States,<=50K
0.479452055,Self-emp-not-inc,0.338016867,HS-grad,0.533333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.571428571,United-States,>50K
0.178082192,State-gov,0.220074308,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,0.428571429,India,>50K
0.082191781,Private,0.187242979,Bachelors,0.8,Never-married,Adm-clerical,Own-child,White,Female,0,0,0.142857143,United-States,<=50K
0.205479452,Private,0.330038983,Assoc-acdm,0.733333333,Never-married,Sales,Not-in-family,Black,Male,0,0,0.714285714,United-States,<=50K
0.232876712,Private,0.399874369,7th-8th,0.2,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,0.571428571,Mexico,<=50K
0.109589041,Self-emp-not-inc,0.281265693,HS-grad,0.533333333,Never-married,Farming-fishing,Own-child,White,Male,0,0,0.285714286,United-States,<=50K
0.205479452,Private,0.298639981,HS-grad,0.533333333,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,0.428571429,United-States,<=50K
0.287671233,Private,0.026089042,11th,0.4,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.714285714,United-States,<=50K
0.356164384,Self-emp-not-inc,0.480443572,Masters,0.866666667,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0.571428571,United-States,>50K
0.315068493,Private,0.310202131,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K
0.246575342,Federal-gov,0.108849877,9th,0.266666667,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,0.428571429,United-States,<=50K
0.575342466,Private,0.164365454,HS-grad,0.533333333,Divorced,Tech-support,Unmarried,White,Female,0,0,0.428571429,United-States,<=50K
0.534246575,Local-gov,0.350457395,Bachelors,0.8,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.428571429,United-States,>50K
0.02739726,Private,0.26666287,HS-grad,0.533333333,Never-married,Craft-repair,Own-child,White,Male,0,0,0.428571429,United-States,<=50K
0.438356164,Private,0.309929471,HS-grad,0.533333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.082191781,Local-gov,0.305344302,Assoc-acdm,0.733333333,Never-married,Protective-serv,Not-in-family,White,Male,0,0,0.771428571,United-States,<=50K
0.04109589,Private,0.435299417,Some-college,0.6,Never-married,Sales,Own-child,Black,Male,0,0,0.542857143,United-States,<=50K
0.178082192,Federal-gov,0.079696002,Some-college,0.6,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,0.428571429,United-States,<=50K
0.424657534,Private,0.394557506,11th,0.4,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,0.428571429,Puerto-Rico,<=50K
0.054794521,Private,0.316545782,Some-college,0.6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,0.428571429,United-States,<=50K
0.02739726,Private,0.91517351,HS-grad,0.533333333,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,0,United-States,<=50K
0.424657534,Self-emp-not-inc,0.434370993,Assoc-acdm,0.733333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.191780822,Private,0.852675775,9th,0.266666667,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.514285714,United-States,<=50K
0.493150685,Self-emp-not-inc,0.128973195,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.095890411,Private,0.274761552,Bachelors,0.8,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.714285714,United-States,<=50K
0.438356164,Private,0.139555151,HS-grad,0.533333333,Separated,Adm-clerical,Unmarried,White,Female,0,0,0.428571429,United-States,<=50K
0.109589041,Private,0.476655674,HS-grad,0.533333333,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0.285714286,United-States,<=50K
0.547945205,Federal-gov,0.559342303,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,0.428571429,United-States,>50K
0.493150685,Private,0.225361835,HS-grad,0.533333333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.371428571,United-States,<=50K
0.369863014,Private,0.197738651,Masters,0.866666667,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0.428571429,United-States,<=50K
0.328767123,State-gov,0.15157461,Assoc-voc,0.666666667,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.164383562,Private,0.444706175,Assoc-voc,0.666666667,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,0.514285714,United-States,<=50K
0.109589041,Private,0.031935694,Some-college,0.6,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,0.428571429,United-States,<=50K
0.452054795,Federal-gov,0.410397652,Bachelors,0.8,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,0.857142857,United-States,>50K
0.410958904,Self-emp-inc,0.165775346,HS-grad,0.533333333,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,<=50K
0.356164384,Private,0.386942018,Some-college,0.6,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.428571429,United-States,>50K
0.397260274,Private,0.350138142,5th-6th,0.133333333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.428571429,Mexico,<=50K
0.246575342,Private,0.073485229,Assoc-voc,0.666666667,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.428571429,Puerto-Rico,<=50K
0.328767123,Private,0.2305579,HS-grad,0.533333333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.657142857,United-States,<=50K
0.424657534,Private,0.234471774,HS-grad,0.533333333,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.342465753,Private,0.177510065,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.571428571,United-States,>50K
0.164383562,Private,0.158468757,Some-college,0.6,Divorced,Tech-support,Not-in-family,White,Male,0,0,0.942857143,United-States,<=50K
0.260273973,Private,0.244648191,HS-grad,0.533333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.150684932,Private,0.292342923,Some-college,0.6,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,0.428571429,United-States,<=50K
0.493150685,Private,0.269341147,HS-grad,0.533333333,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.428571429,United-States,>50K
0.438356164,Self-emp-inc,0.307021676,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.714285714,United-States,>50K
0.02739726,Private,0.151412394,Some-college,0.6,Never-married,Prof-specialty,Own-child,White,Male,0,0,0.2,United-States,<=50K
0.191780822,Private,0.5111592,Bachelors,0.8,Separated,Sales,Own-child,Black,Female,0,0,0.428571429,United-States,<=50K
0.082191781,Private,0.34153038,Some-college,0.6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,0.428571429,United-States,<=50K
0.136986301,Private,0.345401112,HS-grad,0.533333333,Never-married,Other-service,Own-child,White,Male,0,0,0.428571429,Mexico,<=50K
0.315068493,Private,0.031830426,Assoc-acdm,0.733333333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.191780822,Local-gov,0.193550391,7th-8th,0.2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.01369863,Private,0.747346314,HS-grad,0.533333333,Never-married,Sales,Not-in-family,White,Male,0,0,0.142857143,United-States,<=50K
0.479452055,Private,0.453419204,Bachelors,0.8,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.428571429,Cuba,<=50K
0.397260274,Private,0.065315793,HS-grad,0.533333333,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0.428571429,United-States,<=50K
0.575342466,Private,0.252241245,HS-grad,0.533333333,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.657142857,United-States,<=50K
0.493150685,Private,0.573765654,HS-grad,0.533333333,Divorced,Sales,Own-child,White,Female,0,0,0.285714286,United-States,<=50K
0.438356164,Local-gov,0.439128732,HS-grad,0.533333333,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.428571429,United-States,>50K
0.219178082,Private,0.324917124,Masters,0.866666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.714285714,United-States,<=50K
0.178082192,Private,0.070002778,9th,0.266666667,Never-married,Sales,Not-in-family,White,Male,0,0,0.428571429,United-States,<=50K
0.356164384,Federal-gov,0.685269648,Doctorate,1,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0.714285714,United-States,>50K
0.547945205,Private,0.407622736,Assoc-voc,0.666666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.273972603,Private,0.471047168,Some-college,0.6,Divorced,Craft-repair,Unmarried,White,Female,0,0,0.428571429,United-States,<=50K
0.150684932,Private,0.343057619,Some-college,0.6,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,0,United-States,<=50K
0.232876712,Local-gov,0.366756575,Bachelors,0.8,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.428571429,United-States,>50K
0.164383562,Local-gov,0.175703263,Some-college,0.6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0.714285714,United-States,<=50K
0.273972603,Private,0.326007762,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.657142857,United-States,>50K
0.424657534,Private,0.271496539,Assoc-acdm,0.733333333,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0.428571429,England,<=50K
0.205479452,Federal-gov,0.406642541,HS-grad,0.533333333,Never-married,Other-service,Own-child,Black,Male,0,0,0.428571429,United-States,<=50K
0.808219178,Private,0.190554586,Masters,0.866666667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.428571429,United-States,>50K
0.410958904,Self-emp-not-inc,0.23356751,Masters,0.866666667,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0.714285714,United-States,<=50K
0.04109589,Private,0.301187105,Some-college,0.6,Never-married,Tech-support,Own-child,White,Female,0,0,0.428571429,United-States,<=50K
0.164383562,Private,0.154730904,HS-grad,0.533333333,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0.428571429,United-States,<=50K
0.178082192,Private,0.312578411,11th,0.4,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0.428571429,United-States,<=50K
0.191780822,Local-gov,0.3028524,HS-grad,0.533333333,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0.428571429,United-States,<=50K
0.342465753,Private,0.191419159,HS-grad,0.533333333,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0.428571429,United-States,<=50K
0.095890411,Private,0.722387601,Bachelors,0.8,Never-married,Sales,Other-relative,White,Male,0,0,0.428571429,United-States,<=50K
0.287671233,Private,0.088968156,Prof-school,0.933333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.428571429,United-States,>50K
0.260273973,Private,0.15375071,HS-grad,0.533333333,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,0.428571429,United-States,<=50K
0.493150685,Private,0.141296376,9th,0.266666667,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0.714285714,United-States,<=50K
0.534246575,Self-emp-inc,0.499279523,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.714285714,United-States,<=50K
0.438356164,Local-gov,0.316840875,Assoc-voc,0.666666667,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,0.428571429,United-States,>50K
0.520547945,Private,0.403437928,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.885714286,United-States,<=50K
0.068493151,Private,0.153350349,HS-grad,0.533333333,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0.457142857,United-States,<=50K
0.054794521,Private,0.321231041,Some-college,0.6,Never-married,Other-service,Own-child,White,Female,0,0,0.428571429,United-States,<=50K
0.315068493,Private,0.181342832,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,<=50K
0.178082192,Private,0.109364134,Bachelors,0.8,Never-married,Exec-managerial,Own-child,Black,Male,0,0,0.428571429,Germany,<=50K
0.164383562,State-gov,0.438705937,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.714285714,United-States,>50K
0.02739726,Private,0.496718593,Some-college,0.6,Never-married,Other-service,Own-child,Black,Male,0,0,0.285714286,United-States,<=50K
0.410958904,Private,0.47294198,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0.428571429,United-States,>50K
0.191780822,Private,0.174585014,Assoc-acdm,0.733333333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.428571429,United-States,>50K
0.301369863,Private,0.607392528,Some-college,0.6,Divorced,Craft-repair,Not-in-family,White,Male,0,0,0.428571429,United-States,<=50K
0.150684932,Private,0.096383463,Assoc-acdm,0.733333333,Never-married,Sales,Not-in-family,White,Female,0,0,1,United-States,<=50K
0.273972603,Private,0.414913793,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.714285714,United-States,<=50K
0.397260274,Private,0.228526758,Assoc-acdm,0.733333333,Divorced,Tech-support,Not-in-family,Black,Female,0,0,0.314285714,United-States,<=50K
0.287671233,Federal-gov,0.193560745,Masters,0.866666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.428571429,Iran,>50K
0.356164384,Self-emp-not-inc,0.074465423,HS-grad,0.533333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
0.136986301,Private,0.257746209,Assoc-voc,0.666666667,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.285714286,United-States,<=50K
